Time,Position_Y,Velocity_Y,Wheel_1_Velocity,Wheel_2_Velocity,Wheel_3_Velocity,Wheel_4_Velocity,Wheel_1_Force,Wheel_2_Force,Wheel_3_Force,Wheel_4_Force
0.2775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3317,0.0112,0.3349,11.0,11.0,1.8989,1.845,0.6096,0.6096,25.0,25.0
0.3568,0.0213,0.445,11.0,11.0,2.5113,2.4929,1.0603,1.0603,25.0,25.0
0.3776,0.0317,0.5691,10.737,10.7194,3.1954,3.1698,25.0,25.0,25.0,25.0
0.3944,0.0424,0.7154,11.0,10.948,4.0167,3.9864,24.6983,25.0,25.0,25.0
0.4111,0.0556,0.8363,11.0001,10.9999,4.7203,4.6867,9.2855,5.0595,25.0,25.0
0.4235,0.0665,0.8723,11.0,11.0,4.8845,4.8872,1.0574,1.0574,25.0,25.0
0.436,0.0778,0.9228,11.0,11.0,5.152,5.1698,0.4012,0.7628,25.0,25.0
0.4484,0.09,1.0195,10.9999,11.0002,6.0535,5.9166,11.8898,13.9135,25.0,25.0
0.4611,0.1032,1.0622,11.0,11.0,5.9146,5.9685,1.0134,1.0134,25.0,25.0
0.4735,0.1174,1.1675,11.0,11.0,6.5291,6.5509,0.2262,0.2245,25.0,25.0
0.4859,0.1327,1.2676,10.9998,11.0002,7.1191,7.1069,18.1788,15.3512,25.0,25.0
0.4943,0.1435,1.3028,11.0,11.0,7.311,7.2792,0.5878,0.5889,25.0,25.0
0.5027,0.1546,1.3611,11.0,10.9999,7.6429,7.6069,11.1582,18.5274,25.0,25.0
0.5109,0.1663,1.4033,11.0,11.0,7.8892,7.8615,1.0719,1.0727,25.0,25.0
0.5193,0.1781,1.4276,11.0,11.0,7.9932,7.9854,10.8906,1.311,25.0,25.0
0.5276,0.1903,1.4805,11.0,11.0,8.298,8.2921,0.2427,0.2412,25.0,25.0
0.5359,0.2029,1.5254,11.0,11.0,8.5726,8.5459,9.7701,0.6179,25.0,25.0
0.5442,0.216,1.5843,11.0,11.0,8.8922,8.8462,0.3172,4.8292,25.0,25.0
0.5526,0.2295,1.6204,11.0,11.0,9.7659,9.0679,0.1625,0.1624,25.0,25.0
0.5609,0.2434,1.6781,11.0001,10.9999,9.4107,9.3806,7.6272,3.6387,25.0,25.0
0.5692,0.2575,1.7048,11.0,11.0,9.5436,9.5439,0.4245,0.4245,25.0,25.0
0.5776,0.2722,1.7771,11.0,11.0001,9.9877,9.9626,9.1522,5.9182,25.0,25.0
0.5859,0.2872,1.8097,11.0,11.0,10.1662,10.0964,0.3744,0.3744,25.0,25.0
0.5943,0.3026,1.8734,10.9999,11.0001,10.5301,11.0001,6.1043,17.0852,25.0,18.4049
0.6027,0.3184,1.8948,11.0,11.0,10.5787,10.6276,0.8378,0.8414,25.0,25.0
0.611,0.3344,1.9393,11.0,10.9388,11.0,11.0001,-0.5056,25.0,-0.4524,2.7542
0.6193,0.3507,1.9612,11.0,11.0,10.9696,10.9864,0.7356,0.7336,25.0,25.0
0.6277,0.3671,1.962,11.0052,11.0035,11.0008,10.9902,-9.1088,-7.2461,-9.1146,1.1908
0.636,0.3834,1.9617,10.9997,11.0,10.9796,10.9849,5.2737,1.4033,25.0,25.0
0.6444,0.3998,1.9591,11.0026,11.0004,10.9996,10.9999,-22.7358,-19.4963,-0.4159,-0.4379
