Tiempo,Posición_Y,Velocidad_Y,Velocidad_Rueda_1,velocidad_Rueda_2,velocidad_Rueda_3,velocidad_Rueda_4,Fuerza_Rueda_1,Fuerza_Rueda_2,Fuerza_Rueda_3,Fuerza_Rueda_4
0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0559,0.011,0.3263,11.2,11.2,1.8427,1.8081,0.6264,0.6264,25.0,25.0
0.0841,0.0227,0.4468,11.2,11.2,2.5023,2.5154,1.078,3.641,25.0,25.0
0.1059,0.0336,0.598,11.2,11.2,3.3195,3.3884,1.4651,13.2366,25.0,25.0
0.122,0.0447,0.7288,11.2,11.2,4.0373,4.1482,0.6369,12.6454,25.0,25.0
0.1395,0.058,0.838,11.2,11.2,4.6558,4.7939,0.8094,12.4111,25.0,25.0
0.1505,0.0688,0.8975,11.2,11.2,4.9607,5.1257,-0.1435,21.5871,25.0,25.0
0.1631,0.0806,0.9519,11.2,11.2,5.2109,5.4476,1.0453,1.0453,25.0,25.0
0.1761,0.0931,1.0225,11.2,11.2,5.8344,5.7852,3.8018,0.5794,25.0,25.0
0.1893,0.1062,1.0839,11.1999,11.2001,6.039,6.0854,18.4759,3.4234,25.0,25.0
0.2007,0.1203,1.1454,11.2,11.2,6.4185,6.4128,0.7599,0.7599,25.0,25.0
0.2091,0.1305,1.2227,11.2,11.2,6.8695,6.874,5.3223,8.469,25.0,25.0
0.2172,0.1408,1.2472,11.2,11.2,6.976,6.9936,0.6383,0.6383,25.0,25.0
0.2259,0.1516,1.321,11.1998,11.2002,7.3683,7.4144,12.921,10.7135,25.0,25.0
0.2339,0.1629,1.36,11.2,11.2,7.9179,8.5873,0.0713,0.0713,25.0,25.0
0.2427,0.1744,1.3861,11.1998,11.2002,7.7298,7.7823,5.3624,12.9124,25.0,25.0
0.2505,0.1861,1.4155,11.2,11.2,7.9117,7.9325,0.4259,0.4259,25.0,25.0
0.2591,0.1982,1.4711,11.2,11.1999,10.4172,8.4698,10.625,13.5967,25.0,25.0
0.2674,0.2107,1.5053,11.2,11.2,8.4116,8.4316,1.2989,1.2982,25.0,25.0
0.2757,0.2237,1.5777,11.2,11.2001,8.9371,9.2114,20.9664,12.9521,25.0,25.0
0.2839,0.2371,1.6317,11.2,11.2,9.149,9.1555,0.8724,0.8711,25.0,25.0
0.2925,0.2511,1.7039,11.1999,11.2001,9.5352,9.5377,16.2076,22.6102,25.0,25.0
0.3005,0.2656,1.7545,11.2,11.2,10.7521,10.5446,-0.0073,-0.0065,25.0,25.0
0.3094,0.2805,1.7892,11.2001,11.1999,10.0096,10.0231,0.4138,12.105,25.0,25.0
0.3172,0.2957,1.8388,11.2,11.2,10.2931,10.9397,0.1374,0.1385,25.0,25.0
0.3259,0.3112,1.8658,11.1997,11.2,10.4813,10.4269,18.5288,1.0121,25.0,25.0
0.3339,0.327,1.9162,11.2,11.2,10.7424,10.7222,2.2655,0.2375,25.0,25.0
0.3423,0.3431,1.9291,11.2,11.2,10.8246,10.8123,1.2674,1.2674,25.0,25.0
0.3506,0.3595,1.9824,11.2,11.2,11.0953,11.0936,2.3337,0.2525,25.0,25.0
0.359,0.3761,1.9917,11.2,11.2,11.1797,11.177,1.4244,1.4244,25.0,25.0
0.3673,0.3928,2.0014,11.2011,11.2045,11.1947,11.1997,1.7819,-0.2549,6.6234,3.5384
0.3759,0.4094,1.9929,11.2,11.2,11.199,11.1866,1.4153,1.5044,18.2361,25.0
0.3841,0.4261,2.0014,11.2027,11.2028,11.1978,11.1968,-1.1427,-0.9308,2.4955,3.5844
0.3923,0.4428,1.9976,11.2,11.2,11.2,11.1979,0.828,0.8582,0.7318,19.6862
0.4008,0.4594,2.0013,11.2034,11.204,11.1972,11.1955,-2.1542,-3.2001,2.5212,2.4538
0.409,0.4761,2.0003,11.2,11.2,11.2,11.2,0.3228,0.3397,0.2466,0.3023
0.4174,0.4927,2.0008,11.2031,11.2067,11.195,11.1952,-0.5713,-3.5051,5.0035,4.584
0.4256,0.5094,2.0003,11.2,11.2,11.2,11.2,0.3399,0.332,0.2929,0.2371
0.434,0.5261,2.0003,11.202,11.2066,11.1958,11.1955,0.8971,-2.2199,5.3147,5.6975
0.4423,0.5427,1.9982,11.2,11.2,11.2,11.2002,0.4023,0.487,0.3539,-2.4306
0.4507,0.5594,1.9996,11.2069,11.2095,11.1935,11.1901,-4.0728,-5.1683,4.9852,8.1584
0.4591,0.576,1.9995,11.2002,11.1955,11.2062,11.2,1.603,3.533,-4.4858,-1.6243
0.4673,0.5927,1.9987,11.2069,11.2096,11.1941,11.1895,-4.6035,-6.0711,3.8938,7.3449
0.4757,0.6094,2.0004,11.1978,11.1955,11.2071,11.2001,1.4728,2.3338,-5.3882,0.2738
0.4841,0.626,1.9977,11.2075,11.213,11.1915,11.1881,-4.3069,-8.6679,6.1587,7.6473
0.4927,0.6427,2.0006,11.1965,11.1953,11.2028,11.2012,1.4063,2.2736,-3.3478,-5.602
0.5008,0.6593,1.9963,11.2094,11.2141,11.1907,11.1857,-7.9813,-10.0481,4.3264,8.9675
0.5091,0.676,2.0009,11.1975,11.1966,11.2018,11.2042,2.1242,2.7391,-0.6646,-2.2377
0.5175,0.6926,1.9947,11.2084,11.2148,11.1911,11.1857,-4.2184,-9.4751,6.9535,9.4403
0.5259,0.7093,2.0011,11.1979,11.197,11.2014,11.2038,4.4475,4.7175,1.6711,0.5829
0.5341,0.7259,1.9948,11.2,11.2,11.1989,11.1901,1.2429,1.2429,19.947,25.0
0.5424,0.7426,2.0015,11.1995,11.1995,11.2003,11.2008,1.3342,1.3463,0.9865,0.8308
0.5508,0.7592,1.9942,11.2,11.2,11.1997,11.1987,1.3377,1.3381,23.2202,20.9462
0.5591,0.7759,2.0014,11.201,11.2026,11.1978,11.1986,-0.3739,-1.2848,1.8593,1.7993
0.5674,0.7925,1.9969,11.2,11.2,11.2,11.1979,0.7864,0.8916,0.7677,19.3434
0.5759,0.8092,2.0012,11.2011,11.2025,11.1987,11.1978,1.3209,-0.0239,3.1212,3.433
0.5839,0.8259,2.0004,11.2,11.2,11.2,11.2,0.3122,0.344,0.2188,0.2988
0.5927,0.8425,2.0008,11.2032,11.2065,11.1953,11.195,-0.172,-2.7879,5.3318,5.2717
0.6005,0.8592,1.9985,11.2,11.2,11.1999,11.2001,0.3926,0.3881,-0.2641,-1.1952
0.609,0.8758,2.0,11.2029,11.2072,11.1954,11.1945,2.5905,0.2306,7.9314,9.2929
0.6173,0.8925,1.9997,11.2,11.1998,11.2,11.2,0.3246,0.653,0.2965,-2.0142
0.6257,0.9092,1.9994,11.2062,11.2087,11.1944,11.1907,-4.196,-5.1693,3.7855,7.0543
0.634,0.9258,1.9999,11.1995,11.1952,11.1994,11.1999,1.4327,3.2842,-5.2849,-1.2578
0.6423,0.9425,1.9983,11.2083,11.2108,11.1929,11.188,-5.6717,-6.9421,4.519,8.2357
0.6507,0.9591,2.0004,11.1982,11.1964,11.2054,11.2001,0.2377,1.2679,-4.7258,0.1516
0.659,0.9758,1.9971,11.207,11.2115,11.1931,11.1884,-4.072,-7.9365,4.4737,7.1723
0.6674,0.9924,2.0006,11.1951,11.1945,11.2033,11.2071,3.2027,3.2548,-2.4773,-5.2501
0.6757,1.0091,1.9959,11.2077,11.214,11.1912,11.1871,-4.9528,-9.9671,5.5691,7.569
0.684,1.0258,2.0012,11.1964,11.1969,11.2016,11.205,3.5842,3.1573,0.1979,-2.1145
0.6924,1.0424,1.9952,11.2146,11.2,11.1941,11.1912,-0.4429,0.6011,13.5078,15.6068
0.7006,1.0591,2.0014,11.1988,11.1991,11.2003,11.2018,2.1794,2.1832,1.4737,0.7438
0.7091,1.0757,1.994,11.2,11.2,11.1985,11.1902,1.3281,1.3145,20.823,25.0
0.7173,1.0924,2.0016,11.1992,11.1992,11.2008,11.2007,1.3715,1.396,0.4763,0.6999
0.7257,1.109,1.9938,11.2,11.2,11.1994,11.1991,1.4583,1.3429,22.348,19.7348
0.7341,1.1257,2.0014,11.2017,11.204,11.1967,11.1976,-0.5033,-2.1477,2.987,2.4063
0.7425,1.1423,1.9967,11.2,11.2,11.2,11.1979,0.8444,0.8879,0.7943,19.3129
0.7507,1.159,2.001,11.2014,11.2036,11.1977,11.1972,0.2806,-1.6579,2.8566,2.8762
0.7589,1.1756,2.0001,11.2,11.2,11.2,11.2,0.3558,0.3641,0.2598,0.2146
0.7675,1.1923,2.0005,11.2031,11.2055,11.1964,11.1949,1.1542,-0.8109,6.1082,6.6679
0.7756,1.209,2.0004,11.2,11.2,11.2,11.2,0.3049,0.3386,0.2837,0.2529
0.784,1.2256,1.9997,11.2049,11.2089,11.194,11.1924,-1.9562,-5.0383,5.2357,5.8208
0.7924,1.2423,1.9996,11.2,11.1997,11.2,11.1999,0.3365,2.0611,-0.9854,-1.4673
0.8008,1.2589,1.9989,11.2055,11.2085,11.1948,11.1912,-3.4199,-4.8777,3.7687,6.7936
0.8093,1.2756,2.0001,11.1968,11.1953,11.2079,11.2001,2.0173,3.0817,-5.5724,-0.9634
0.8174,1.2922,1.998,11.2065,11.2114,11.1927,11.1894,-3.6363,-7.5528,5.355,6.8569
0.8258,1.3089,2.0006,11.2003,11.1957,11.2042,11.2,1.2484,2.9168,-3.3056,-2.7294
0.834,1.3256,1.9967,11.2087,11.2129,11.1918,11.1866,-3.6137,-6.1812,7.3956,11.4943
0.8426,1.3422,2.0012,11.1987,11.1981,11.2031,11.2,1.3643,1.4819,-1.7349,-1.4266
0.8507,1.3589,1.9955,11.2074,11.2133,11.192,11.1873,-5.464,-10.2995,4.1955,6.5292
0.859,1.3756,2.0013,11.1962,11.1967,11.2021,11.2049,3.4642,3.0527,-0.3926,-2.3231
0.8674,1.3922,1.9964,11.2,11.2,11.2005,11.1979,1.2558,1.2559,21.3924,22.1196
